機能id,機能名
AUTH-001,ログイン機能
AUTH-002,ログアウト機能
AUTH-003,パスワード再設定機能
AUTH-004,権限管理機能
USER-001,ユーザー登録機能
USER-002,ユーザー情報編集機能
USER-003,ユーザー削除機能
USER-004,ユーザー一覧表示機能
USER-005,ユーザー検索機能
TASK-001,タスク新規作成機能
TASK-002,タスク編集機能
TASK-003,タスク削除機能
TASK-004,タスク一覧表示機能
TASK-005,タスク詳細表示機能
PROG-001,タスク進捗更新機能
PROG-002,進捗履歴記録機能
PROG-003,進捗状況可視化機能
COMM-001,コメント投稿機能
COMM-002,コメント編集機能
COMM-003,コメント削除機能
COMM-004,コメント一覧表示機能
NOTI-001,タスク割り当て通知機能
NOTI-002,進捗更新通知機能
NOTI-003,期限超過通知機能
SRCH-001,タスク検索機能
SRCH-002,ステータス別フィルタ機能
SRCH-003,担当者別フィルタ機能
SRCH-004,期限別フィルタ機能
REPT-001,進捗レポート表示機能
REPT-002,担当者別タスク集計機能
REPT-003,期間指定集計機能
REPT-004,CSV出力機能
MSTR-001,ステータスマスタ管理機能
MSTR-002,優先度マスタ管理機能
MSTR-003,部署マスタ管理機能
SYS-001,画面共通レイアウト機能
SYS-002,エラーハンドリング機能
SYS-003,ログ出力機能
SYS-004,システム設定管理機能
